,rank,name,headquarter,category,description,link,year
0,1,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2020
1,2,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2020
2,3,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2020
3,4,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2020
4,5,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2020
5,6,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2020
6,7,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2020
7,8,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2020
8,9,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2020
9,10,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2020
10,11,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2020
11,12,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2020
12,13,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2020
13,14,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2020
14,15,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2020
15,16,Crypto Finance AG,Zug,Fintech,Transforming financial services,https://www.top100startups.swiss/CryptoFinance,2020
16,17,Eyeware Tech SA,Martigny,ICT,Attention Sensing with 3D Eye Tracking,https://www.top100startups.swiss/Eyeware,2020
17,18,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2020
18,19,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2020
19,20,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2020
20,21,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2020
21,22,Avrios International AG,Zürich,ICT,We make mobility work for business,https://www.top100startups.swiss/Avrios,2020
22,23,Loanboox GmbH,Zürich,Fintech,European debt capital market platform,https://www.top100startups.swiss/Loanboox,2020
23,24,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2020
24,25,MOBBOT SA,Fribourg,Proptech,Mobile 3D concrete printing systems,https://www.top100startups.swiss/MOBBOT,2020
25,26,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2020
26,27,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2020
27,28,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2020
28,29,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2020
29,30,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2020
30,31,DeepCode AG ,Zurich,ICT,Enabling developers with existing open source software,https://www.top100startups.swiss/DeepCode,2020
31,32,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2020
32,33,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2020
33,34,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2020
