,Unnamed: 0,rank,name,headquarter,category,description,link,year
0,0,1,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2022
1,1,2,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2022
2,2,3,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2022
3,3,4,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2022
4,4,5,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2022
5,5,6,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2022
6,6,7,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2022
7,7,8,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2022
8,8,9,Bloom Biorenewables SA,Marly,Cleantech,Making biomass a true alternative to petroleum,https://www.top100startups.swiss/Bloom,2022
9,9,10,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2022
10,10,11,ClearSpace SA,Renens,Cleantech,Remove failed satellites and space debris,https://www.top100startups.swiss/ClearSpace,2022
11,11,12,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2022
12,12,13,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2022
13,13,14,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2022
14,14,15,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2022
15,15,16,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2022
16,16,17,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2022
17,17,18,dq technologies AG (Decentriq),Zürich,Security,Data clean rooms powered by confidential computing,https://www.top100startups.swiss/Decentriq,2022
18,18,19,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2022
