rank;name;headquarter;category;description;link;year;plz;kanton;lan;lon
1;Yokoy Group AG;Zurich;Fintech;Your expenses and company credit cards on autopilot;https://www.top100startups.swiss/yokoy;2022;8001;ZH;8.541734555;47.37208749
2;Planted Foods AG;Kemptthal;Foodtech;Planted meats;https://www.top100startups.swiss/Planted;2022;8310;ZH;8.71155229;47.45743914
3;Ledgy AG;Zurich;Fintech;Your equity set for growth;https://www.top100startups.swiss/Ledgy;2022;8001;ZH;8.541734555;47.37208749
4;CUTISS AG;Schlieren;Biotech;Personalized skin;https://www.top100startups.swiss/CUTISS;2022;8952;ZH;8.449001596;47.39503416
5;CREAL SA;Ecublens;Engineering;Enabling Augmented Reality within arm's reach;https://www.top100startups.swiss/CREAL;2022;1024;VD;6.55861492;46.52883079
6;9T Labs AG;Zurich;Engineering;3D carbon fiber printing technology;https://www.top100startups.swiss/9T;2022;8001;ZH;8.541734555;47.37208749
7;Carvolution AG;Bannwil;ICT;Car Subscription Model for Switzerland;https://www.top100startups.swiss/Carvolution;2022;4913;BE;7.730333214;47.2385039
8;HAYA Therapeutics SA;Epalinges;Biotech;Treating heart failure through innovative RNA-therapies;https://www.top100startups.swiss/HAYA;2022;1066;VD;6.668508946;46.55070386
9;Bloom Biorenewables SA;Marly;Cleantech;Making biomass a true alternative to petroleum;https://www.top100startups.swiss/Bloom;2022;1723;FR;7.149369422;46.77600316
10;Daphne Technology SA;St-Sulpice VD;Cleantech;Climate tech comp reducing toxic pollutants & GHG emissions;https://www.top100startups.swiss/Daphne;2022;1025;VD;6.562644978;46.48549127
11;ClearSpace SA;Renens;Cleantech;Remove failed satellites and space debris;https://www.top100startups.swiss/ClearSpace;2022;1020;VD;6.589670167;46.53527951
12;Resistell AG;Muttenz;Medtech;Revolutionary alternative for antibiotic susceptibility testing;https://www.top100startups.swiss/Resistell;2022;4132;BL;7.648057403;47.52338801
13;aktiia SA;Neuchatel;Medtech;Reinventing Blood Pressure Monitoring;https://www.top100startups.swiss/aktiia;2022;2000;NE;6.941331265;46.98844504
14;TOLREMO therapeutics AG;Muttenz;Biotech;Development of resistance-breaking cancer therapies;https://www.top100startups.swiss/TOLREMO;2022;4132;BL;7.648057403;47.52338801
15;Volumina Medical SA;Epalinges;Medtech;Dynamic biomaterials for reconstructive and plastic surgery;https://www.top100startups.swiss/Volumina;2022;1066;VD;6.668508946;46.55070386
16;Neural Concept SA;Lausanne;ICT;Optimizing engineering processes;https://www.top100startups.swiss/Neural;2022;1011;VD;6.643319582;46.52555634
17;inyova AG;Zurich;Fintech;We create a more sustainable world through investing;https://www.top100startups.swiss/Inyova;2022;8001;ZH;8.541734555;47.37208749
18;dq technologies AG (Decentriq);ZÃ¼rich;Security;Data clean rooms powered by confidential computing;https://www.top100startups.swiss/Decentriq;2022;8002;ZH;8.532739248;47.36007156
19;Araris Biotech AG;Au SG;Biotech;Building tomorrow's antibody-drug conjugates (ADCs);https://www.top100startups.swiss/Araris;2022;9434;SG;9.638968287;47.42971875
20;Sygnum Bank AG;Zurich;Fintech;Digital asset specialist with global reach;https://www.top100startups.swiss/Sygnum;2022;8001;ZH;8.541734555;47.37208749
21;AgroSustain SA;Renens;Foodtech;AgroSustain â€“ a one-stop-shop solution for biological plant;https://www.top100startups.swiss/AgroSustain;2022;1020;VD;6.589670167;46.53527951
22;Archlet AG;ZÃ¼rich;ICT;Cloud-based AI and data-backed strategic sourcing platform;https://www.top100startups.swiss/Archlet;2022;8002;ZH;8.532739248;47.36007156
23;neon Switzerland AG;ZÃ¼rich;Fintech;Mobile Banking solution;https://www.top100startups.swiss/Neon;2022;8002;ZH;8.532739248;47.36007156
24;Nanoleq AG;RÃ¼mlang;Engineering;The future of health-monitoring textiles;https://www.top100startups.swiss/Nanoleq;2022;8153;ZH;8.528807372;47.44750791
25;Unique AG;ZÃ¼rich;ICT;Sales Intelligence Platform;https://www.top100startups.swiss/Unique;2022;8002;ZH;8.532739248;47.36007156
26;Voliro AG;ZÃ¼rich;Robotics;Aerial robots for in-depth inspection and maintenance;https://www.top100startups.swiss/Voliro;2022;8002;ZH;8.532739248;47.36007156
27;IMburse AG;Zurich;Fintech;Integration-free access to global payments ecosystem;https://www.top100startups.swiss/IMburse;2022;8001;ZH;8.541734555;47.37208749
28;DePoly SA;Sion;Cleantech;Closing the loop on PET plastic recycling;https://www.top100startups.swiss/DePoly;2022;1950;VS;7.354727167;46.22725387
29;EraCal Therapeutics AG;Schlieren;Biotech;We develop the next generation anti-obesity drug;https://www.top100startups.swiss/EraCal;2022;8952;ZH;8.449001596;47.39503416
30;Anaveon AG;Basel;Biotech;Immunotherapies for cancer;https://www.top100startups.swiss/Anaveon;2022;4051;BS;7.586450708;47.55404534
31;Skribble AG;Zurich;ICT;Digital signature solution;https://www.top100startups.swiss/Skribble;2022;8001;ZH;8.541734555;47.37208749
32;Tinamu Labs AG;ZÃ¼rich;Robotics;Automated drone-based indoor monitoring;https://www.top100startups.swiss/Tinamu;2022;8002;ZH;8.532739248;47.36007156
33;Bright Peak Therapeutics AG;Basel;Biotech;Next-generation engineered cytokines;https://www.top100startups.swiss/BrightPeak;2022;4051;BS;7.586450708;47.55404534
34;Relai AG;ZÃ¼rich;Fintech;Relai is Europe's easiest Bitcoin app;https://www.top100startups.swiss/Relai;2022;8002;ZH;8.532739248;47.36007156
35;Oculis SA;Lausanne;Biotech;Next Generation of Topical Ophthalmic Treatments;https://www.top100startups.swiss/Oculis;2022;1011;VD;6.643319582;46.52555634
