,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
0,Microcaps AG,Engineering,Biomaterials,Chemicals,Cosmetics,Materials,Food,Medtech,Small molecule drugs,,,,,,,,,,,,,,March 2019,"Microcapsules and microparticles are widely used to carry, deliver and protect pharmaceutical agents in drugs, fragrances in cosmetic products, and aromas or probiotics in food.  However, today’s industrial microencapsulation techniques do not allow any control over the capsule size, leading to uncontrolled release profiles. Our unique technique enables the industrial production of size-controlled microcapsules, while offering precise dosing, controlled release properties, and an increased stability, all of which being 1000x faster than state-of-the-art processes. Microcaps brings, for the very first time, industrial precision and control to the rapidly growing 12 bn-$ market of microencapsulation.",https://www.microcaps.ch,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261
1,CodeCheck AG,ICT,Consumer products,AR/VR/MR,Big Data,Cosmetics,Consumer,Digital Health,Food,Machine Learning / AI,Mobile,SaaS,Services for companies,Services for consumers,,,,,,,,,May 2014,"CodeCheck AG (headquarters: Zurich, Switzerland) is the provider of the leading mobile shopping assistant for food and cosmetics in German-speaking countries. More than 2.5 million registered users make their purchase decisions with the online service (www.codecheck.info). The mobile app has already been downloaded more than 4.5 million times. CodeCheck combines information on their ingredients with the assessments of renowned experts from Greenpeace, BUND (Friends of the Earth), WWF, and many others in an extensive database with several million product entries and makes them available to consumers free of charge in apps and the web. Using the CodeCheck app, users scan the barcode of a product directly, e.g., when shopping, and immediately receive an individual evaluation of the produc",http://www.codecheck.info,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520
2,Glycemicon AG,Biotech,Biotech,,,,,,,,,,,,,,,,,,,,June 2016,"Glycemicon AG is a Swiss biotechnology company developing novel foods (nutraceuticals) for the maintenance of normal blood sugar levels and better weight management, using new approaches that were initially identified at the ETH Zurich. The lead product’s active substance is naturally occurring in food products as well as in both humans and pets. By improving the functionality of the fat tissue, the active substance improves the insulin sensitivity and enables the body to maintain a healthy blood sugar level.",,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498
3,Securosys SA,Security,Security,,,,,,,,,,,,,,,,,,,,April 2014,"We are a technology company dedicated to secure data and communications. We design, produce and distribute hardware, software and services that protect and verify data and their transmission. Our products are built and developped in Switzerland and with vetted partners in Europe. We put great importance to our secure supply chain. As such, there are no possibilities for back doors.Securosys' product range is developed by our skilled experts and produced in collaboration with trustworthy partners. Important elements in our repertoire are our multifunctional digital key vaults, the Hardware Security Modules (HSM). They can also sign and encrypt data as well as authenticate transactions and messages. Key factors of our hardware security modules are that they are easy to integrate into existing systems, extremely powerful and tamper resistant.In addition to the HSM, related solutions such as HSM as a service, VPN systems for fully encrypted communication and mesh/link encryptors belong to our portfolio. Our products support international standards. They are suitable for all applications where sensitive data are transferred or stored. They protect amongst others the Swiss banking system.Our solutions fit perfectly into, for example, any kind of PKI environments, blockchain systems, crypto finance/assets or other Fintech-based applications.",http://www.securosys.ch,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=8824
4,MiniNaviDent AG,Medtech,Imaging and Radiology,Surgery,,,,,,,,,,,,,,,,,,,January 2013,"The School of Life Sciences FHNW and the University of Basel have developed a 3D navigation system for dental implantology. It is being commercialized by Mininavident, a company founded in 2012. In March, the company completed a second funding round of over CHF 1.4 million. The investors included Aargauische Kantonalbank.",http://mininavident.com,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5376
5,DigitArena SA,ICT,Advertising,Communications,Media,Sport,Software,,,,,,,,,,,,,,,,April 2014,"""It’s Sunday evening, you sit in your couch. You wear your favorite VR glasses and, immediately, you watch the premium Premier League match live. When you turn your head, the vision and environment inside the glasses completely follows your every move, completely immersing you in a life-like sporting experience, coupled with seamless, attractive, customized advertising.   This is made possible by Digit Arena live delivery with unique localize advertisement technology. And the same technology is possible with your mobile, tablet or TV screen.   With Digit Arena, viewers always seat in the best stadium sat. From a business perspective, live sports becomes:  . more attractive and more accessible to fans – from any global location?  . far more profitable for event organisers as well as for broadcasters?  . more valuable for sponsors seeking local engagement capabilities   DigitArena plans to revolutionise the advertisement and sponsorship activation business model by placing products and brands straight into the video from live sports events. DigitArena plans to disrupt live event ticketing and content delivery business models to the mobile, tablet and VR, transforming them into another Over The Top (or OTT) ads revenue generators (both ads paid or AVOD and service on demand or TVOD).""",http://www.digitarena.tv,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7580
6,Mila AG ,ICT,Consumer,,,,,,,,,,,,,,,,,,,,March 2013,"Mila (www.mila.com) is a crowd service platform. On Mila.com, users can find, book, and rate tech-savvy people or offer their technical know-how. Some businesses use Mila to build a service community around their products and services, while others expand their service offerings using a crowd consisting of vetted individuals (Mila Friends) and professional service providers (Mila Pros). Mila was founded in 2013 as a spin-off of field service software provider Coresystems (www.coresystems.net). In 2015, Swiss telecommunications provider Swisscom acquired the majority stake in Mila. The startup has offices in Berlin (Germany) and Zurich (Switzerland).",http://www.mila.com,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5346
7,greenTEG AG,Cleantech,Digital Health,Materials,Hightech,Micro technologies,Sensors,Medical devices,Medtech,Semiconductors,Wearable technologies,,,,,,,,,,,,July 2009,"Founded as a spin-off of ETH Zurich, greenTEG is a profitable B2B sensor company selling thermal sensing solutions to wearable, photonics, and building markets since 2013. Photonics: Successfully entered the market with fast & compact laser power & position detectors, enabling higher productivity. Since 2017 we are exclusive supplier for Thorlabs. Building: Leading supplier of U-Value measurement systems to determine the thermal performance of buildings & materials. Launch of the IOT-based goMS measurements system for professional customers in 2018.Wearable: Developed in 2016-2017, greenTEG’s core body temperature (CBT) sensor is the first solution, allowing to accurately, non-invasively and continuously monitor this important vital parameter with a wearable device.  The demand is very high and the addressable market is estimated to reach 300M units p a. by 2023. First customers have integrated the sensor and launched their product.",http://www.greenteg.com,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7324
8,Visionarity AG,Cleantech,Applications,Cleantech,Energy efficiency,Cloud,Consulting services,Consumer,Electronics,Mobility,Hightech,Enterprise,Gaming,Internet,Human ressources,"Smart Power, Green Grid",Marketing services,Sensors,Wireless,Services for companies,Services for consumers,Software,June 2012,"Combining software, hardware and social technologies with a strong commitment to nature, Visionarity’s aim is to promote sustainable development by creating solutions that facilitate the transition of companies, governments and individuals to a more sustainable world. We provide technology products that foster employee engagement at global corporations in key, specific areas fundamentally aligned with their corporate sustainability goals such as energy efficiency, employee well-being and mobility. Visionarity address the challenges of global corporations to attract, retain and align employees with their corporate values, principles and strategies by using technology that employees use and love, facilitating the transition of companies and individuals to a more sustainable world. Our platform is currently used by thousands of employees from major corporations worldwide. Amongst our customers we are proudly engaging employees from Roche, Microsoft, Google, IWB, AXA, Cofely, Dr. Oetker, AXPO, Dufry, Genentech (USA)",,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7508
9,urbanpeople.com AG,ICT,,,,,,,,,,,,,,,,,,,,,January 2013,Online Shopping Web Platform.,,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5952
