,rank,name,headquarter,category,description,link,year
0,1,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2016
1,2,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2016
2,3,Knip AG ,"Zurich, Switzerland",Fintech,Online insurance management,https://www.top100startups.swiss/Knip,2016
3,4,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2016
4,5,Sophia Genetics SA,Saint Sulpice,Biotech,Democratizing Data-Driven Medicine,https://www.top100startups.swiss/Sophia,2016
5,6,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2016
6,7,bexio AG  ,Rapperswil,Fintech,Business software for SMEs,https://www.top100startups.swiss/Bexio,2016
7,8,Amal Therapeutics SA ,Genève,Biotech,Cancer vaccines,https://www.top100startups.swiss/Amal,2016
8,9,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2016
9,10,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2016
10,11,VIU VENTURES AG,Zürich,ICT,Challenging the established rules in the eyewear industry,https://www.top100startups.swiss/VIUVentures,2016
11,12,MOVU AG ,Zürich,ICT,Finding the best moving and cleaning provider online,https://www.top100startups.swiss/MOVU,2016
12,13,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2016
13,14,PIQUR Therapeutics AG,Basel,Biotech,Developing and commercializing personalized cancer medicines,https://www.top100startups.swiss/PIQUR,2016
14,15,Archilogic AG,Zürich,Proptech,Understanding environments,https://www.top100startups.swiss/Archilogic,2016
15,16,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2016
16,17,RealLook AG (Selfnation),Zürich,ICT,Perfectly fitting trousers,https://www.top100startups.swiss/selfnation,2016
